"Zaman damgası","Cinsiyetiniz","Yaşınız","Medeni Haliniz","Eğitim Durumunuz","Düzenli Bir İşte Çalışıyor Musunuz? ","Kalabalık önünde konuşmaktan utanırım.","Başkalarının yaptıkları yanlışları görünce onlara yaptıklarının yanlış olduğunu söylemekten utanırım.","İnsanlara onlara karşı olan duygularımı söylemekten utanırım.","Bana ait olan eşyaları başkasına ödünç verdiğimde geri istemeye utanırım. ","Toplum içinde başkası tarafından övülmekten utanırım.","Alakam olmasa dahi bir başkasının yaptığı hareketlerden utanırım.","Anlatılan şeyleri anlamadığım zaman tekrar etmelerini istemeye utanırım.",""
"2021/03/25 10:23:48 ÖS GMT+3","Kadın","25-34","Evli","Yüksek Lisans","Hayır","2","3","1","4","2","1","3","2"
"2021/03/25 10:26:47 ÖS GMT+3","Kadın","35-44","Evli","Lise","Hayır","3","2","4","4","4","3","2","1"
"2021/03/25 10:28:03 ÖS GMT+3","Erkek","25-34","Bekar","Lise","Evet","2","1","1","1","1","1","4","1"
"2021/03/25 10:28:14 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","2","3","1","2","3","2","1","1"
"2021/03/25 10:28:29 ÖS GMT+3","Erkek","25-34","Bekar","Üniversite","Evet","1","1","1","1","1","1","1","1"
"2021/03/25 10:29:38 ÖS GMT+3","Erkek","35-44","Bekar","Lise","Evet","1","2","1","1","2","1","2","1"
"2021/03/25 10:29:45 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Evet","2","1","4","4","4","4","4","1"
"2021/03/25 10:29:59 ÖS GMT+3","Kadın","25-34","Bekar","Yüksek Lisans","Evet","2","2","1","1","4","1","2","1"
"2021/03/25 10:30:09 ÖS GMT+3","Erkek","25-34","Bekar","Üniversite","Evet","2","2","2","2","2","2","2","2"
"2021/03/25 10:30:38 ÖS GMT+3","Erkek","25-34","Bekar","Üniversite","Evet","3","2","3","4","2","4","4","1"
"2021/03/25 10:30:47 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Evet","2","1","2","2","2","2","1","1"
